,Question,Your answer,Teammates' average,Team average,Class average
0,Q29_1,1.0,1.3333333333333333,1.25,1.6216216216216217
1,Q29_2,2.0,1.3333333333333333,1.5,1.7916666666666667
2,Q29_3,1.0,1.3333333333333333,1.25,1.917808219178082
3,Q33_1,2.0,1.6666666666666667,1.75,1.9333333333333333
4,Q33_2,2.0,1.6666666666666667,1.75,2.3866666666666667
5,Q33_3,1.0,1.6666666666666667,1.5,1.6
6,Q20_1,20.0,19.0,19.25,27.0423422972973
7,Q20_2,20.0,27.0,25.25,28.31004561643835
8,Q20_3,30.0,27.0,27.75,23.714155205479454
9,Q20_4,30.0,27.0,27.75,27.396825396825395
10,Q20_5,,,,23.833333333333332
11,Q20_6,,,,30.333333333333332
12,Q15_1,1.0,2.6666666666666665,2.25,1.8243243243243243
13,Q15_2,1.0,1.6666666666666667,1.5,1.5135135135135136
14,Q15_3,1.0,1.3333333333333333,1.25,2.328767123287671
15,Q15_4,1.0,1.3333333333333333,1.25,1.7384615384615385
16,Q15_5,1.0,,1.0,2.923076923076923
17,Q15_6,1.0,,1.0,2.1666666666666665
18,Q16_1.1,2.0,3.3333333333333335,3.0,1.7837837837837838
19,Q16_2.1,1.0,1.6666666666666667,1.5,1.5675675675675675
20,Q16_3.1,1.0,1.6666666666666667,1.5,2.287671232876712
21,Q16_4.1,1.0,1.3333333333333333,1.25,1.703125
22,Q16_5,,,,3.1
23,Q16_6.1,,,,2.5555555555555554
24,Q17_1,2.0,3.0,2.75,1.7432432432432432
25,Q17_2,2.0,2.0,2.0,1.472972972972973
26,Q17_3,1.0,1.6666666666666667,1.5,2.232876712328767
27,Q17_4,1.0,1.3333333333333333,1.25,1.625
28,Q17_5,,,,3.0
29,Q17_6,,,,2.2
30,Q30_1,1.0,1.6666666666666667,1.5,1.6081081081081081
31,Q30_2,1.0,1.3333333333333333,1.25,1.5
32,Q30_3,1.0,1.6666666666666667,1.5,1.8767123287671232
33,Q30_4,1.0,1.3333333333333333,1.25,1.6
34,Q30_5,,,,3.0
35,Q30_6,,,,2.625
