Student Name,Q29_1,Q29_2,Q29_3,Q33_1,Q33_2,Q33_3,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q16_1.1,Q16_2.1,Q16_3.1,Q16_4.1,Q16_5,Q16_6.1,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6
A,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
AA,2.0,2.0,2.0,3.0,4.0,3.0,16.0,20.0,16.0,16.0,16.0,16.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
AB,4.0,6.0,6.0,5.0,5.0,5.0,16.0,23.0,14.0,15.0,15.0,17.0,3.0,2.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0
AC,2.0,3.0,3.0,2.0,3.0,1.0,17.0,20.0,16.0,17.0,13.0,17.0,4.0,1.0,4.0,3.0,6.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0
AD,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
AE,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
AF,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
AG,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
AH,2.0,2.0,2.0,2.0,2.0,2.0,26.0,26.0,26.0,22.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,
AI,,,,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,
