,Student Name,TeamNumber,TeammateNumber,Q29_1,Q29_2,Q29_3,Q33_1,Q33_2,Q33_3,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q16_1.1,Q16_2.1,Q16_3.1,Q16_4.1,Q16_5,Q16_6.1,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,ResponseId
0,A,1,1,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_ZlwqGK7oRXFuk2B
1,B,1,2,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_3EBj9T7Yvk5B9p8
2,C,1,3,3.0,3.0,3.0,3.0,3.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_3kzGFidBS7a7uMY
3,D,1,4,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_2PaPevsJwcfXqWL
4,E,2,1,1.0,1.0,1.0,1.0,3.0,1.0,23.0,31.0,23.0,23.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_T5xAPMwjZYMFWLL
5,F,2,2,2.0,,2.0,3.0,5.0,3.0,19.0,29.0,26.0,26.0,,,5.0,2.0,2.0,2.0,,,1.0,3.0,2.0,2.0,,,5.0,2.0,2.0,2.0,,,1.0,2.0,2.0,2.0,,,R_31dvg2NBmGqtYQ5
6,G,2,3,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_1FRNOY3zwSPdR3p
7,H,2,4,1.0,1.0,1.0,2.0,2.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_1QLcfjXbAngCxD3
8,I,3,1,1.0,1.0,1.0,1.0,1.0,1.0,22.0,26.0,26.0,26.0,,,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_2SlgQZljpnQGveA
9,J,3,2,1.0,2.0,1.0,2.0,2.0,1.0,20.0,20.0,30.0,30.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_25AVAsodSyfSrN6
10,K,3,3,1.0,1.0,1.0,2.0,2.0,2.0,10.0,30.0,30.0,30.0,,,5.0,2.0,1.0,1.0,,,5.0,2.0,1.0,1.0,,,5.0,3.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,R_2f0ZsvUPeedNUT1
11,L,3,4,2.0,2.0,2.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,2.0,2.0,2.0,2.0,,,3.0,2.0,3.0,2.0,,,2.0,2.0,2.0,2.0,,,3.0,2.0,3.0,2.0,,,R_OJSyCK2MSgACBCp
12,M,4,1,2.0,2.0,1.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,2.0,,,1.0,2.0,1.0,2.0,,,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,R_2rosagHW7iVN9EB
13,N,4,2,1.0,1.0,1.0,2.0,2.0,2.0,24.0,26.0,21.0,29.0,,,1.0,1.0,1.0,1.0,,,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_124gzyxdbwE9L43
14,O,4,3,1.0,1.0,1.0,2.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,2.0,2.0,2.0,1.0,,,1.0,1.0,1.0,2.0,,,R_1LLHZVRIHMEDqGM
